2026-08-12 18:12:46 | INFO | httpx | HTTP Request: GET http://httpbin.org/health "HTTP/1.1 503 Service Temporarily Unavailable"
2026-08-12 18:12:46 | INFO | httpx | HTTP Request: GET http://httpbin.org/status "HTTP/1.1 503 Service Temporarily Unavailable"
2026-08-12 18:12:46 | INFO | httpx | HTTP Request: GET http://httpbin.org/users "HTTP/1.1 503 Service Temporarily Unavailable"
2026-08-12 18:12:47 | INFO | httpx | HTTP Request: GET http://httpbin.org/auth "HTTP/1.1 503 Service Temporarily Unavailable"
2026-08-12 18:12:47 | INFO | httpx | HTTP Request: GET http://httpbin.org/login "HTTP/1.1 503 Service Temporarily Unavailable"
2026-08-12 18:12:47 | INFO | api-scanner | Successfully loaded Isolation Forest model from C:\Users\rahim\api-security-platform\models\isolation_forest.pkl
2026-08-12 18:12:48 | INFO | httpx | HTTP Request: GET http://httpbin.org "HTTP/1.1 503 Service Temporarily Unavailable"
2026-08-12 18:12:48 | INFO | api-scanner | Request [GET] http://httpbin.org -> 503 (1.072s)
2026-08-12 18:12:49 | INFO | api-scanner | Risk Evaluation [GET] http://httpbin.org -> Score: 47.23/100 (Medium)
2026-08-12 18:14:42 | INFO | api-scanner | Database tables initialized successfully.
2026-08-12 18:39:42 | INFO | api-scanner | Successfully loaded Isolation Forest model from C:\Users\rahim\api-security-platform\models\isolation_forest.pkl
2026-08-12 18:39:42 | INFO | api-scanner | Evaluating detection layers against test dataset...
2026-08-12 18:39:43 | INFO | api-scanner | Risk Evaluation [GET] http://localhost/api/v1/resource -> Score: 34.04/100 (Medium)
2026-08-12 18:39:43 | INFO | api-scanner | Risk Evaluation [POST] http://localhost/api/v1/resource -> Score: 76.05/100 (High)
2026-08-12 18:39:43 | INFO | api-scanner | Risk Evaluation [GET] http://localhost/api/v1/resource -> Score: 74.97/100 (High)
2026-08-12 18:39:43 | INFO | api-scanner | Risk Evaluation [GET] http://localhost/api/v1/resource -> Score: 76.36/100 (High)
2026-08-12 18:39:43 | INFO | api-scanner | Risk Evaluation [POST] http://localhost/api/v1/resource -> Score: 35.28/100 (Medium)
2026-08-12 18:39:43 | INFO | api-scanner | Risk Evaluation [GET] http://localhost/api/v1/resource -> Score: 38.37/100 (Medium)
2026-08-12 18:39:43 | INFO | api-scanner | Risk Evaluation [POST] http://localhost/api/v1/resource -> Score: 75.97/100 (High)
2026-08-12 18:39:43 | INFO | api-scanner | Risk Evaluation [POST] http://localhost/api/v1/resource -> Score: 75.94/100 (High)
2026-08-12 18:39:43 | INFO | api-scanner | Risk Evaluation [POST] http://localhost/api/v1/resource -> Score: 33.53/100 (Medium)
2026-08-12 18:39:43 | INFO | api-scanner | Risk Evaluation [GET] http://localhost/api/v1/resource -> Score: 33.27/100 (Medium)
2026-08-12 18:39:43 | INFO | api-scanner | Risk Evaluation [GET] http://localhost/api/v1/resource -> Score: 35.96/100 (Medium)
2026-08-12 18:39:43 | INFO | api-scanner | Risk Evaluation [GET] http://localhost/api/v1/resource -> Score: 34.58/100 (Medium)
2026-08-12 18:39:43 | INFO | api-scanner | Risk Evaluation [GET] http://localhost/api/v1/resource -> Score: 75.9/100 (High)
2026-08-12 18:39:43 | INFO | api-scanner | Risk Evaluation [POST] http://localhost/api/v1/resource -> Score: 76.53/100 (High)
2026-08-12 18:39:43 | INFO | api-scanner | Risk Evaluation [GET] http://localhost/api/v1/resource -> Score: 36.07/100 (Medium)
2026-08-12 18:39:43 | INFO | api-scanner | Risk Evaluation [GET] http://localhost/api/v1/resource -> Score: 34.61/100 (Medium)
2026-08-12 18:39:43 | INFO | api-scanner | Risk Evaluation [GET] http://localhost/api/v1/resource -> Score: 34.77/100 (Medium)
2026-08-12 18:39:43 | INFO | api-scanner | Risk Evaluation [POST] http://localhost/api/v1/resource -> Score: 36.79/100 (Medium)
2026-08-12 18:39:43 | INFO | api-scanner | Risk Evaluation [POST] http://localhost/api/v1/resource -> Score: 33.43/100 (Medium)
2026-08-12 18:39:43 | INFO | api-scanner | Risk Evaluation [POST] http://localhost/api/v1/resource -> Score: 33.54/100 (Medium)
2026-08-12 18:39:43 | INFO | api-scanner | Risk Evaluation [POST] http://localhost/api/v1/resource -> Score: 76.69/100 (High)
2026-08-12 18:39:43 | INFO | api-scanner | Risk Evaluation [GET] http://localhost/api/v1/resource -> Score: 76.23/100 (High)
2026-08-12 18:39:43 | INFO | api-scanner | Risk Evaluation [POST] http://localhost/api/v1/resource -> Score: 37.77/100 (Medium)
2026-08-12 18:39:43 | INFO | api-scanner | Risk Evaluation [GET] http://localhost/api/v1/resource -> Score: 35.33/100 (Medium)
2026-08-12 18:39:43 | INFO | api-scanner | Risk Evaluation [GET] http://localhost/api/v1/resource -> Score: 35.59/100 (Medium)
2026-08-12 18:39:43 | INFO | api-scanner | Risk Evaluation [POST] http://localhost/api/v1/resource -> Score: 75.08/100 (High)
2026-08-12 18:39:43 | INFO | api-scanner | Risk Evaluation [GET] http://localhost/api/v1/resource -> Score: 33.63/100 (Medium)
2026-08-12 18:39:43 | INFO | api-scanner | Risk Evaluation [GET] http://localhost/api/v1/resource -> Score: 34.3/100 (Medium)
2026-08-12 18:39:43 | INFO | api-scanner | Risk Evaluation [POST] http://localhost/api/v1/resource -> Score: 37.93/100 (Medium)
2026-08-12 18:39:43 | INFO | api-scanner | Risk Evaluation [GET] http://localhost/api/v1/resource -> Score: 34.17/100 (Medium)
2026-08-12 18:39:43 | INFO | api-scanner | Risk Evaluation [GET] http://localhost/api/v1/resource -> Score: 34.23/100 (Medium)
2026-08-12 18:39:43 | INFO | api-scanner | Risk Evaluation [GET] http://localhost/api/v1/resource -> Score: 75.72/100 (High)
2026-08-12 18:39:43 | INFO | api-scanner | Risk Evaluation [GET] http://localhost/api/v1/resource -> Score: 34.22/100 (Medium)
2026-08-12 18:39:43 | INFO | api-scanner | Risk Evaluation [GET] http://localhost/api/v1/resource -> Score: 35.36/100 (Medium)
2026-08-12 18:39:43 | INFO | api-scanner | Risk Evaluation [GET] http://localhost/api/v1/resource -> Score: 34.86/100 (Medium)
2026-08-12 18:39:43 | INFO | api-scanner | Risk Evaluation [GET] http://localhost/api/v1/resource -> Score: 35.64/100 (Medium)
2026-08-12 18:39:43 | INFO | api-scanner | Risk Evaluation [GET] http://localhost/api/v1/resource -> Score: 76.05/100 (High)
2026-08-12 18:39:43 | INFO | api-scanner | Risk Evaluation [GET] http://localhost/api/v1/resource -> Score: 74.64/100 (High)
2026-08-12 18:39:43 | INFO | api-scanner | Risk Evaluation [GET] http://localhost/api/v1/resource -> Score: 36.36/100 (Medium)
2026-08-12 18:39:43 | INFO | api-scanner | Risk Evaluation [GET] http://localhost/api/v1/resource -> Score: 74.74/100 (High)
2026-08-12 18:39:43 | INFO | api-scanner | Risk Evaluation [GET] http://localhost/api/v1/resource -> Score: 75.41/100 (High)
2026-08-12 18:39:43 | INFO | api-scanner | Risk Evaluation [GET] http://localhost/api/v1/resource -> Score: 33.42/100 (Medium)
2026-08-12 18:39:43 | INFO | api-scanner | Risk Evaluation [GET] http://localhost/api/v1/resource -> Score: 74.96/100 (High)
2026-08-12 18:39:43 | INFO | api-scanner | Risk Evaluation [GET] http://localhost/api/v1/resource -> Score: 35.57/100 (Medium)
2026-08-12 18:39:43 | INFO | api-scanner | Risk Evaluation [POST] http://localhost/api/v1/resource -> Score: 36.68/100 (Medium)
2026-08-12 18:39:43 | INFO | api-scanner | Risk Evaluation [GET] http://localhost/api/v1/resource -> Score: 36.31/100 (Medium)
2026-08-12 18:39:43 | INFO | api-scanner | Risk Evaluation [GET] http://localhost/api/v1/resource -> Score: 37.46/100 (Medium)
2026-08-12 18:39:43 | INFO | api-scanner | Risk Evaluation [GET] http://localhost/api/v1/resource -> Score: 35.69/100 (Medium)
2026-08-12 18:39:43 | INFO | api-scanner | Risk Evaluation [GET] http://localhost/api/v1/resource -> Score: 35.49/100 (Medium)
2026-08-12 18:39:43 | INFO | api-scanner | Risk Evaluation [GET] http://localhost/api/v1/resource -> Score: 34.17/100 (Medium)
2026-08-12 18:39:43 | INFO | api-scanner | Risk Evaluation [GET] http://localhost/api/v1/resource -> Score: 37.13/100 (Medium)
2026-08-12 18:39:43 | INFO | api-scanner | Risk Evaluation [GET] http://localhost/api/v1/resource -> Score: 33.9/100 (Medium)
2026-08-12 18:39:43 | INFO | api-scanner | Risk Evaluation [GET] http://localhost/api/v1/resource -> Score: 76.57/100 (High)
2026-08-12 18:39:43 | INFO | api-scanner | Risk Evaluation [GET] http://localhost/api/v1/resource -> Score: 37.46/100 (Medium)
2026-08-12 18:39:43 | INFO | api-scanner | Risk Evaluation [GET] http://localhost/api/v1/resource -> Score: 36.06/100 (Medium)
2026-08-12 18:39:43 | INFO | api-scanner | Risk Evaluation [GET] http://localhost/api/v1/resource -> Score: 75.2/100 (High)
2026-08-12 18:39:43 | INFO | api-scanner | Risk Evaluation [GET] http://localhost/api/v1/resource -> Score: 34.53/100 (Medium)
2026-08-12 18:39:43 | INFO | api-scanner | Risk Evaluation [GET] http://localhost/api/v1/resource -> Score: 76.38/100 (High)
2026-08-12 18:39:43 | INFO | api-scanner | Risk Evaluation [GET] http://localhost/api/v1/resource -> Score: 37.16/100 (Medium)
2026-08-12 18:39:43 | INFO | api-scanner | Risk Evaluation [GET] http://localhost/api/v1/resource -> Score: 75.43/100 (High)
2026-08-12 18:39:43 | INFO | api-scanner | Risk Evaluation [GET] http://localhost/api/v1/resource -> Score: 36.01/100 (Medium)
2026-08-12 18:39:43 | INFO | api-scanner | Risk Evaluation [GET] http://localhost/api/v1/resource -> Score: 34.06/100 (Medium)
2026-08-12 18:39:43 | INFO | api-scanner | Risk Evaluation [POST] http://localhost/api/v1/resource -> Score: 38.31/100 (Medium)
2026-08-12 18:39:43 | INFO | api-scanner | Risk Evaluation [POST] http://localhost/api/v1/resource -> Score: 34.99/100 (Medium)
2026-08-12 18:39:43 | INFO | api-scanner | Risk Evaluation [POST] http://localhost/api/v1/resource -> Score: 34.29/100 (Medium)
2026-08-12 18:39:43 | INFO | api-scanner | Risk Evaluation [GET] http://localhost/api/v1/resource -> Score: 75.48/100 (High)
2026-08-12 18:39:43 | INFO | api-scanner | Risk Evaluation [POST] http://localhost/api/v1/resource -> Score: 75.92/100 (High)
2026-08-12 18:39:43 | INFO | api-scanner | Risk Evaluation [POST] http://localhost/api/v1/resource -> Score: 75.64/100 (High)
2026-08-12 18:39:43 | INFO | api-scanner | Risk Evaluation [POST] http://localhost/api/v1/resource -> Score: 35.67/100 (Medium)
2026-08-12 18:39:43 | INFO | api-scanner | Risk Evaluation [GET] http://localhost/api/v1/resource -> Score: 36.83/100 (Medium)
2026-08-12 18:39:43 | INFO | api-scanner | Risk Evaluation [POST] http://localhost/api/v1/resource -> Score: 35.06/100 (Medium)
2026-08-12 18:39:43 | INFO | api-scanner | Risk Evaluation [GET] http://localhost/api/v1/resource -> Score: 34.17/100 (Medium)
2026-08-12 18:39:43 | INFO | api-scanner | Risk Evaluation [POST] http://localhost/api/v1/resource -> Score: 34.73/100 (Medium)
2026-08-12 18:39:43 | INFO | api-scanner | Risk Evaluation [GET] http://localhost/api/v1/resource -> Score: 34.38/100 (Medium)
2026-08-12 18:39:43 | INFO | api-scanner | Risk Evaluation [GET] http://localhost/api/v1/resource -> Score: 38.22/100 (Medium)
2026-08-12 18:39:43 | INFO | api-scanner | Risk Evaluation [GET] http://localhost/api/v1/resource -> Score: 37.38/100 (Medium)
2026-08-12 18:39:43 | INFO | api-scanner | Risk Evaluation [POST] http://localhost/api/v1/resource -> Score: 36.73/100 (Medium)
2026-08-12 18:39:43 | INFO | api-scanner | Risk Evaluation [POST] http://localhost/api/v1/resource -> Score: 75.92/100 (High)
2026-08-12 18:39:43 | INFO | api-scanner | Risk Evaluation [GET] http://localhost/api/v1/resource -> Score: 33.69/100 (Medium)
2026-08-12 18:39:43 | INFO | api-scanner | Risk Evaluation [POST] http://localhost/api/v1/resource -> Score: 36.46/100 (Medium)
2026-08-12 18:39:43 | INFO | api-scanner | Risk Evaluation [GET] http://localhost/api/v1/resource -> Score: 33.49/100 (Medium)
2026-08-12 18:39:43 | INFO | api-scanner | Risk Evaluation [GET] http://localhost/api/v1/resource -> Score: 33.68/100 (Medium)
2026-08-12 18:39:43 | INFO | api-scanner | Risk Evaluation [POST] http://localhost/api/v1/resource -> Score: 35.44/100 (Medium)
2026-08-12 18:39:43 | INFO | api-scanner | Risk Evaluation [POST] http://localhost/api/v1/resource -> Score: 36.41/100 (Medium)
2026-08-12 18:39:43 | INFO | api-scanner | Risk Evaluation [POST] http://localhost/api/v1/resource -> Score: 37.94/100 (Medium)
2026-08-12 18:39:43 | INFO | api-scanner | Risk Evaluation [GET] http://localhost/api/v1/resource -> Score: 36.42/100 (Medium)
2026-08-12 18:39:43 | INFO | api-scanner | Risk Evaluation [GET] http://localhost/api/v1/resource -> Score: 38.45/100 (Medium)
2026-08-12 18:39:43 | INFO | api-scanner | Risk Evaluation [GET] http://localhost/api/v1/resource -> Score: 37.27/100 (Medium)
